,Address,City,Postcode,Price,Rooms,Link,DateLastUpdated,EstimatedAnnualRent,Gross_Yield_%,Net_Yield_%,Avg_Sold_Price_2024
122,"Flat 17, Printing Press House, School Street","Manchester, UK",M4,290000.0,2,https://rightmove.co.uk/properties/162331847#/?channel=RES_BUY,2025-07-08,18552.0,6.4,0.61,316225.6449814126
123,"Hallmark Tower, 6 Cheetham Hill Road, Manchester, Greater Manchester, M4","Manchester, UK",M4,280000.0,2,https://rightmove.co.uk/properties/164303747#/?channel=RES_BUY,2025-07-08,18552.0,6.63,0.8,316225.6449814126
124,"Palatine Road, West Didsbury, M20","Manchester, UK",M14,300000.0,2,https://rightmove.co.uk/properties/163305254#/?channel=RES_BUY,2025-07-08,14882.285714285714,4.96,-0.62,334833.7932960894
125,"Boundary Lane, Manchester, M15","Manchester, UK",M14,280000.0,2,https://rightmove.co.uk/properties/163276607#/?channel=RES_BUY,2025-06-13,14882.285714285714,5.32,-0.32,334833.7932960894
126,"Boundary Lane, Manchester, Greater Manchester, M15","Manchester, UK",M14,270000.0,2,https://rightmove.co.uk/properties/160650659#/?channel=RES_BUY,2025-04-14,14882.285714285714,5.51,-0.15,334833.7932960894
127,"The Summit, Liverpool Baltic Triangle","Liverpool, UK",L1,280000.0,2,https://rightmove.co.uk/properties/164677316#/?channel=RES_BUY,2025-06-10,14132.307692307691,5.05,-0.55,423129.42091836734
128,"The Summit, Liverpool Baltic Triangle","Liverpool, UK",L1,289950.0,2,https://rightmove.co.uk/properties/164724413#/?channel=RES_BUY,2025-07-19,14132.307692307691,4.87,-0.7,423129.42091836734
129,"Mann Island, Liverpool","Liverpool, UK",L1,295000.0,2,https://rightmove.co.uk/properties/164518199#/?channel=RES_BUY,2025-07-15,14132.307692307691,4.79,-0.77,423129.42091836734
130,"The Summit, Liverpool Baltic Triangle","Liverpool, UK",L1,259950.0,2,https://rightmove.co.uk/properties/164500778#/?channel=RES_BUY,2025-07-12,14132.307692307691,5.44,-0.21,423129.42091836734
131,"Liverpool Investment Flat, Business District","Liverpool, UK",L1,279950.0,2,https://rightmove.co.uk/properties/164676989#/?channel=RES_BUY,2025-07-12,14132.307692307691,5.05,-0.55,423129.42091836734
132,"The Summit, Liverpool Baltic Triangle","Liverpool, UK",L1,275000.0,2,https://rightmove.co.uk/properties/164347613#/?channel=RES_BUY,2025-07-09,14132.307692307691,5.14,-0.47,423129.42091836734
133,"The Colonnades, Albert Dock, City Centre","Liverpool, UK",L1,300000.0,2,https://rightmove.co.uk/properties/164187872#/?channel=RES_BUY,2025-07-04,14132.307692307691,4.71,-0.83,423129.42091836734
134,"Abbey Building, Liverpool","Liverpool, UK",L1,250000.0,2,https://rightmove.co.uk/properties/164185382#/?channel=RES_BUY,2025-07-04,14132.307692307691,5.65,-0.03,423129.42091836734
